,,,
Botanical Name,Family,Common Name,Properties / Uses
Alchemilla mollis,ROSACEAE,Lady's mantle,"astringent, tones and strengthens the womb, treats menstrual cramps, PMS, irregular periods, menopause, causeless infertility"
Allamanda cathartica,APOCYNACEAE,golden trumpet,"cathartic; treats biliousness, impotency"
Alliaria petiolata,BRASSICACEAE,garlic mustard,"pungent, stimulant, expectorant, anti-inflammatory,  clears infection, promotes healing; treats bronchitis, asthma; also eczema, slow healing skin problems, neuralgia, rheumatism, gout"
Allium cepa,LILIACEAE,onion,"stimulates blood circulation and muscle relaxation;+G128 antiseptic, expectorant and diuretic;  treats digestive problems, removes toxins, strengthens the heart"
Allium sativum,LILIACEAE,garlic,"cleanses blood; maintains good bacteria in gut; is antiseptic, antibiotic, antifungal; tones heart and circulatory system; prevents heart disease and stomach cancer"
Allium schoenoprasum,LILIACEAE,chives,"pungent, warming, lowers fever, antibacterial, reduces blood pressure; used for cholesterol control"
Allium tuberosum,LILIACEAE,garlic chives,"antiemetic, improves kidney function; treats urinary incontinence, kidney and bladder weakness, digestive disorders, skin
problems; also as poultice for knee injuries"
Allium ursinum,LILIACEAE,ramsons,"strong-smelling,  pungent, cleanses blood, antiseptic, antibiotic, antifungal; treats high blood pressure, hardening of arteries"
Aloe vera,LILIACEAE,aloe,"soothing, cooling, antiseptic, antifungal; treats burns, sunburn, ringworm, infected cuts, rashes, other skin problems; also for digestive problems"
Alpinia galanga,ZINGIBERACEAE,galangal,"carminative, stimulant; treats tuberculosis, skin infections, flatulence, dyspepsia, vomiting, high blood pressure, gastro- intestinal complaints, sea sickness"
Alpinia zerumbet 'Variegata',ZINGIBERACEAE,shell ginger,"treats rheumatism, headache, grippe,"
Althaea officinalis,MALVACEAE,marsh mallow,"soothing, mucilaginous; treats stomach problems like acid stomach, heartburn, ulcers, hiatus hernia, irritable bowel; also dry coughs"
Amaranthus hypochondriacus,AMARANTHACEAE,prince's feather,"astringent, soothing, cooling, controls bleeding; treats diarrhea and excessive menstruation; for ulcerated mouth, and throat, vaginal discharge, wounds, nosebleeds"
Amaranthus lividus,AMARANTHACEAE,amaranthus,"astringent, soothing, cooling, controls bleeding; treats diarrhea and excessive menstruation; for ulcerated mouth, and throat, vaginal discharge, wounds, nosebleeds"
Amaranthus tricolor,AMARANTHACEAE,Chinese spinach,"astringent, soothing cooling, controls bleeding; treats diarrhea and excessive menstruation; for ulcerated mouth, and throat, vaginal discharge, wounds, nosebleeds"
Ambrosia maritima,ASTERACEAE,ragweed,"aromatic, stimulant, antimicrobial, muscle relaxant; treats muscle problems esp. intestine and uterus, to dilate blood vessels; also to increase urine output,  lose weight"
Ammi majus,APIACEAE,bishopsweed,"tonic, diuretic, affects pigmentation; treats asthma; also used in commercial preparations for vertiligo, psoriasis"
Ammi visnaga,APIACEAE,khella,"aromatic, dilates bronchial, urinary and blood vessels without affecting blood pressure; treats asthma, angina, coronary arteriosclerosis;  also for kidney stones"
Anagallis arvensis,PRIMULACEAE,scarlet pimpernel,"acrid, mucilaginous, diuretic, expectorant, lowers fevers; treats depression, tuberculosis, liver complaints, epilepsy, dropsy, rheumatism; also for improving complexion esp. freckles"
Ananas comosus,BROMELIACEAE,pineapple,"anti-inflammatory,  antibiotic, antiseptic, invigorating, gland regulator, immune system booster, rich in Vit. A, C, carotene, choline; treats cancers, arthritis, swellings, wounds, strains, blood clots, indigestion, respiratory ailments, throat infections"
Anethum graveolens,APIACEAE,dill,"pungent, cooling, aromatic, diuretic, controls infection, calms and tones digestive system; treats digestive disorders; also for hiatus hernia"
Angelica archangelica,APIACEAE,angelica,"bittersweet, aromatic, anti-inflammatory,  antispasmodic,  acts on bronchial, digestive, urinary, female reproductive systems; treats respiratory conditions, urinary tract problems,  relieves menstral cramps, lowers fevers"
Angelica sinensis,APIACEAE,dong quai,"bittersweet, aromatic tonic for female reproductive system, liver; mild laxative, sedative, painkiller, antibacterial; for menstrual, postpartum, menopausal complaints, also anemia; painful injury, neuralgia, angina, arthritis, as injection into acupuncture points"
Angelica sylvestris,APIACEAE,wild angelica,"aromatic, anti-inflammatory;  treats blood disorders"
Annona muricata,ANNONACEAE,guanabana,high in vitamins esp. C & B; fruit extraxt may inhibit growth of breast cancer cells; fruit edible; seeds poisonous- contains neurotoxin - annonacin -causes neurodegenerative disease in Caribbean
Anthopterus wardii / ericad spp.,ERICACEAE,tropical blueberry,high in vitamins and minerals
Anthriscus cereifolium,APIACEAE,chervil,"bitter, aromatic, cleansing tonic, expectorant; treats nerve, skin and digestive disorders, rheumatism, fluid retention, eczema, jaundice; cleanses liver and kidney; also for conjunctivitis, inflamed eyelids, hemorrhoids"
Anthurium scandens,ARACEAE,trailing anthurium,for curing snakebite (used by Tikunas Indians)
Anthurium schlectendahlii,ARACEAE,pheasant tail,"treats sprains, aches, rheumatism, arthritis, paralysis, backaches, muscle spasms,  pain and swelling of skin"
Apium graveolens,APIACEAE,celery,treats rheumatoid arthritis; reduces high blood pressure; purifies blood; stimulates thyroid and pituitary gland; clears uric acid from joints; mild diuretic
Arbutus unedo,ERICACEAE,strawberry tree,edible fruit; also for brandy Portuguese madranho
Arctostaphylos uva-ursi,ERICACEAE,bearberry,"astringent, antibacterial, urinary antiseptic; treats urinary tract infections including chronic cystitis, urethritis, nephritis, lidney and gallstones, gout and gonorrhea, vaginitis"
Areca catechu,ARECACEAE,betel nut,"to remove intestinal parasites; also for dysentery, malaria, constipation"
Argemone mexicana,PAPAVERACEAE,Mexican poppy,"poisonous, contains toxic alkaloids - argemone oil poisoning causes epidemic dropsy"
Aristolochia clematitis,ARISTOLOCHIACEAE,birthwort,"aromatic, tonic, stimulates uterus, reduces inflammation, antibacterial, promotes healing; treats female problems, skin disorders, snake and insect bites"
Aristolochia trilobata,ARISTOLOCHIACEAE,duck flower,"used for hangovers, flu, cold, constipation, stomachache, indigestion, flatulence, gastritis, amoebae, colitis, high blood pressure, cleanse urinary tract, ""heavy"" heartbeat, scanty or late menses"
Armoracia rusticana,BRASSICACEAE,horseradish,"pungent, antiseptic, diuretic, stimulates blood flow, relieves winter chills; treats lung and kidney diseases; relieves sinus infections and nasal blockages; relieves chronic rheumatism"
Arnica montana,ASTERACEAE,"arnica, leopard's bane","aromatic, bitter, astringent, stimulates immune system and heart, pain reliever, anti-inflammatory,  antifungal, antibacterial; treats short term heart failure and coronary artery disease; also  for bruises, sprains, chilbains, varicose ulcers, throat gargle"
Artemisia abrotanum,ASTERACEAE,southernwood,"for cholesterol control, painful menstration, digestion, poor appetite, threadworms, sciatic pains, swellings, hair loss, frostbite"
Artemisia absinthium,ASTERACEAE,absinthe,"treats motion sickness, indigestion, poor appetite, gall bladder complaint, roundworms, bites, bruises"
Artemisia annua,ASTERACEAE,wormwood,"aromatic, antibacterial, destroys malarial parasites, lowers fevers, checks bleeding; treats feverish illnesses esp. malaria, heat stroke; also for nose bleeds, bleeding rashes, sores; (used to prepare Artesunate- antimalarial drug)"
Artemisia vulgaris,ASTERACEAE,mugwort,"bitter, aromatic, nerve tonic, digestive stimulant, diuretic, increases perspiration, stimulates uterus, expels intestinal parasites; treats depression, menstrual complaints, indigestion, female reproductive complaints, nervousness, infections"
Aruncus dioicus,ROSACEAE,goat's beard,edible fruit; possible cytotoxicity against Jutkat T cells
Asarum canadense,ARISTOLOCHIACEAE,Canadian ginger,"expectorant, decongestant, stimulates digestive and respiratory systems, increases perspiration, diuretic; treats coughs, asthma, chills, rheumatic disorders, used as contraceptive, to regulate menstruation, stimulant in difficult labor"
Asarum europaeum,ARACEAE,European wild ginger,"stimulating, warming, bitter, pungent, antibiotic, stimulates digestive and respiratory systems, increases perspiration; diuretic, expectorant, decongestant"
Asparagus officinalis,LILIACEAE,asparagus,"cystitis - problems of urinary tract, pyelitis, kidney disease, rheumatism, gout, edema from heart failure -asparagusic acid for schistomiasis"
Astralagus membranaceus,FABACEAE,milk-vetch root,"sweet, tonic herb, stimulates immune system, spleen, lungs, liver, circulatory and urinary systems, lowers blood pressure and blood sugar; treats allergies, colds, diabetes, kidney problems, prolapsed organs, slow- healing skin eruptions"
Astralagus syriacus,FABACEAE,milk vetch,"sweet, tonic herb, stimulates immune system"
Atriplex hortensis,CHENOPODIACEAE,orach,"mildly irritant, stimulates metabolism; used to dispel sluggishness"
Atropa belladonna,SOLANACEAE,belladonna,"narcotic herb, relieves spasms, reduces secretions of mouth, bronchi, stomach; treats asthma, kidney and gallstones, Parkinson's disease, hypotension, gastric ulcers, travel sickness"
Avena sativa,GRAMINEAE,oats,"tonic for general debility; used to treat anorexia, lower blood cholesterol and hormonal activity; cleanse internally and externally; treat eczema, depression, stress and nervous disorders"
Averrhoa carambola,OXALIDACEAE,carambola,"antipruritic, antipyretic, anthelminthic, anti-inflammatory,  anti- ulcer, anti-microbial; contains tannins, terpenoids, saponins, flavonoids"
Avicennia officinalis,VERBENACEAE,mangrove,"anti- inflammatory,  bactericidal; fruit plastered on boils, tumors to stop inflammation, poultice of unripe seeds heal abscesses, ulcers, boils, smallpox sores, resin with banana as contraceptive also treats snakebites"
Azolla filliculoides,AZOLLACEAE,mosquito fern,for mosquito control and as green manure
Bacopa monnieri,SCROPHULARIACEAE,water hyssop,"memory, mental enhancement"
Ballota nigra,LAMIACEAE,black horehound,"motion sickness, nervous dyspepsia, morning sickness, menstral disorders, bronchial complaints"
Banisteriopsis caapi,MALPIGHIACEAE,ayahuasca,"hallucinogenic drink to cure all sicknesses, laxative, emetic"
Baptisia australis,FABACEAE,false indigo,"acrid, bitter, antiseptic, laxative, emetic, stimulates immune system; treats bacterial infections, lowers fevers"
Begonia glabra,BEGONIACEAE,begonia,"promotes general health; for colds, fevers  etc."
Berberis vulgaris,BERBERIDACEAE,barberry,"bitter, sedative, stimulates liver, spleen, uterus; treats skin infections, diarrhea, dysentery, cholera, arthritis, conjunctivitis, high blood pressure, throat infections, mouth ulcers, gallstones, hypertension, cancer chemotherapy"
Beta vulgaris,CHENOPODIACEAE,beet,vitamins and minerals
Betula pendula,BETULACEAE,weeping birch,"bitter, astringent, tonic, diuretic, mild laxative, anti-inflammatory, relieves pain, increases perspiration; treats rheumatism, gout, arthritis, kidney complaints, skin eruptions, fevers"
Bixa orellana,BIXACEAE,annatto,"fruit yield yellow dye used in food and cosmetics, leaves to treat diarrhea and dysentery, wash sores, rashes, infected bites"
Borago officinalis,BORAGINACEAE,borage,"cooling, saline, diuretic, soothes damaged / irritated tissues, antidepressant,  mild sedative, increases perspiration, regulates hormones, lowers blood pressure; treats nerves, respiratory complaints, cirrhosis, chronic nephritis, also eye washes, more…"
Brassica nigra,BRASSICACEAE,black mustard,"pungent, warming, stimulates circulatory and digestive systems, potent emetic; treats rheumatism, muscular pains, chilblains, respiratory tract infections; also colds and headaches"
Brassica oleracea,BRASSICACEAE,wild cabbage,"excellent inflammatory, anticancer; treats chest colds, coughs, headaches, backache, joint pain, muscular pain, hiccups, digestive problems, disinfects colon; use as poultice for healing of boils, cuts"
Brugmansia suaveolens,SOLANACEAE,yellow angel's trumpet,"WARNING - toxic plant, narcotic, antispamodic, decongestant; used as eye wash, for body pain, dermatitis, orchitis; G12alkaloid is scopolamine"
Bursera simaruba,BURSERACEAE,gumbolimbo,"relieve pain from insect bites, sunburn, rashes, skin sores, measles, internal infections, purify blood, urinary tract conditions, fever, sunstroke, colds, flu -forehead wrapped with leaves to reduce headaches"
Buxus sempervirens,BUXACEAE,common box,"strong-smelling,  narcotic, antirheumatic, lowers fevers, destroys intestinal parasites; treats recurrent fevers like malarial fevers; also for rheumatism; stimulates hair growth"
Cajanus cajun,FABACEAE,pigeon pea,"anti-microbial, diuretic; treats coughs, bronchitis, hemorrhages, wash ulcers, sores, wounds, leucorrhea, headaches, diabetes; hastens cicatrization"
Calamintha nepeta,LAMIACEAE,calamint,"nerve tonic, treats indigestion, nervous tension, depression, insomnia, painful menstration"
Calathea roseo-picta,MARANTACEAE,prayer plant,treats mouth sores
Calendula officinalis,ASTERACEAE,pot marigold,"bittersweet, salty, stimulates liver, gall bladder, uterus, soothing, digestive, supports heart, clears infections; treats gastric and duodenal ulcers,  menstrual problems, pelvic inflammatory disease; also eczema, thrush infections, herpes"
Calluna vulgaris,ERICACEAE,scots heather,"heather honey for coughs, colds, diarrhea, kidney and urinary tract infections, arthritis, rheumatism, nervous exhaustion"
Camellia sinensis,THEACEAE,tea,"acts on nervous system to control respiratory and digestive problems; diuretic and astringent; tannins prevent heart disease and halt cancers; treat sore eyes, minor injuries, insect bites"
Campelia zanonia,COMMELINACEAE,campelia,treats burns
Campyloneuron  phyllitidis,POLYPODIACEAE,cow tongue,"for treating syphilis, for painful menstruation, for gall bladder and urinary problems, cold remedy"
Canna edulis,CANNACEAE,canna,"for treating neuralgia and spider bites; tea for liver problems, to prevent abortion"
Cannabis sativa,CANNABIDACEAE,marijuana,"to treat nausea and vomiting associated with cancer chemo., glaucoma, AIDS, constipation"
Capparis spinosa,CAPPARIDACEAE,common caper,"treats gastrointestinal  infections, diarrhea, gout, rheumatism, coughs, eye infections"
Capsicum annuum,SOLANACEAE,cayenne pepper,"pungent, tonic, antiseptic, stimulates digestive and circulatory systems, irritates tissues to increase blood supply to area; treats fevers, asthma, varicose veins, digestive problems, sprains, unbroken chilblains, neuralgia, lumbago, pleurisy"
Capsicum cultivars,SOLANACEAE,hot peppers,"high in Vit. C, in potassium, antiseptic,anesthetic,  stimulates circulatory and digestive systems; treats varicose veins, asthma, digestive complaints; eliminates toxins from body"
Carica papaya,CARICACEAE,papaya,"indigestion, high blood pressure, as diuretic, aids in healing of wounds, cuts - reduces infections, corns, warts, relieves constipation, sluggish liver, used in treatment for venereal disease"
Carlina acaulis,ASTERACEAE,carline thistle,"tonic, cleansing, benefits liver and gall bladder, genitourinary system, skin; treats fluid retention, liver, gall bladder, prostate problems, bronchitis, skin complaints - acne and eczema"
Carthamus lanatus,ASTERACEAE,distaff thistle,"bitter, aromatic, stimulates circulation, lowers fevers, anti- inflammatory; treats coronary artery disease, menstrual and menopausal problems, jaundice, measles, bruises, sprains, skin problems, wounds, painful or paralyzed joints"
Carthamus tinctorius,ASTERACEAE,safflower,"bitter, aromatic, lowers fevers, anti-inflammatory,  stimulates circulation; treats coronary artery disease, menstral and menopausal problems, jaundice, measles, bruises, sprains, skin problems, wounds painful or paralyzed joints"
Caryota mitis,ARECACEAE,fishtail palm,for cauterization of wounds
Casimiroa edulis,RUTACEAE,white sapote,"high in alkaloids, anti-cancer, vermifuge, relieves pain, sedative, saporific, tranquilizing; treats athritic pain, rheumatism, heals sores"
Catharanthus roseus,APOCYNACEAE,rosy periwinkle,"diabetes, menopause, high blood pressure, slows tumor growth - alkaloids vincristine and vinblastine for childhood leukemia and Hodgkins' disease"
Cecropia peltata,CECROPIACEAE,trumpet tree,"treats high blood pressure, dropsy, diabetes,  rheumatic conditions, as diuretic, combined with papaya as liver tonic, treat kidney complaints, internal infections"
Cedrus deodara,PINACEAE,deodar cedar,"antiseptic, antifungal, stimulates bronchial and circulatory systems; treats bronchitis, urinary infections, fear and nervous tension, hair loss, skin problems, sore joints and muscles, menstrual problems"
Ceiba pentandra,BOMBACACEAE,kapok,"astringent, diuretic, lowers fevers, relaxes spasms, controls bleeding; treats abnormal uterine bleeding, dysentery, diarrhea in children, bronchial ailments; also fevers, headaches; as poultice for sprains, wounds"
Centella asiatica,APIACEAE,gotu kola (brahmi),"depression, rheumatism, blood disease, mental disorder, high blood pressure, sore thorat, tonsilitis, cystitis, venereal disease, insomnia"
Ceratonia siliqua,FABACEAE,carob,"aphrodisiac, high in tannins, digestive, reduces blood sugar and insulin levels, lowers cholesterol; treats weight loss, indigestion, heartburn, diarrhea, celiac disease, high cholesterol, obesity, vomiting, pregnancy problems"
Chamaemelum  nobile,ASTERACEAE,chamomile,"bitter, aromatic, sedative, acts mainly on digestive system; treats digestive ailments, morning sickness, painful menstruation, insomnia, feverish illnesses; oil is uterine stimulant"
Chamaerops humilis,ARECACEAE,Medit. Fan palm,"astringent, tonic, contains tannins, flavonoids, saponins, decreases cholesterol, triglycerides; treats diabetes, cancer,
ulcer, kidney stones, digestive disorders, spasms, gastrointestinal problems"
Chenopodium album,CHENOPODIACEAE,goosefoot,"acrid, astringent, destroys intestinal parasites, antifungal, antiparasitic; for roundworms, hookworms, small tapeworms, amoebic dysentery, asthma, excess mucus, athlete's foot, insect bites"
Chondrodendron  tomentosum,MENISPERMACEAE,curare,"diurectic, laxative, decoction lowers fever and stimulates uterus - contains d-tubocurarine - relaxes muscles during surgery"
Chrysanthemum  segetum,ASTERACEAE,corn marigold,high in vitamins and minerals
Cibotium barometz,CYATHEACEAE,scythian lamb,"strengthen bones and muscles, eases backache, replenishes liver and kidney, hairs used as styptic for bleeding wounds"
Cichorium intybus,ASTERACEAE,chicory,"bitter, diuretic, laxative, reduces inflammation, tonic for liver and gall bladder, cooling, alterative; treats liver complaints, rheumatism, gout, hemorrhoids"
Cimicifuga racemosa,RANUNCULACEAE,black cohosh,"bitter, tonic, soothing, controls coughing, lowers fevers, stimulates uterus; for bronchial infections, menstrual problems, menopause, labor, postpartum pains, arthritis, rheumatism"
Cinchona pubescens,RUBIACEAE,quinine,"2 important alkaloids present - quinine is antimalarial, quinidine is a cardiac depressant - treats malaria, neuralgia, muscle cramps, cardiac fibrillation - used in remedies for colds and influenza"
Cinnamomum camphora,LAURACEAE,camphor,"bitter, strongly aromatic, stimulates nervous and circulatory systems, anti-inflammatory,  antiparasitic; treats headaches, joint and muscle pain, coughs, nervousness, bronchitis, asthma, rheumatism, gout, nasal and sinus congestion, depression"
Cinnamomum zeylanicum,LAURACEAE,cinnamon,"treats colds, bronchitis, sinus congestion, digestive problems, intestinal infections, parasites, poor circulation, anemia; also for scabies, lice"
Cissus rhombifolia,VITACEAE,grape ivy,"treats stomach aches, painful joints, as poultice and to wash wounds"
Citrullus colocynthis,CURCUBITACEAE,bitter apple,"anti-inflammatory,  high in glycosides, alkaloid and flavanoid content, antimicrobial, insulin tropic effect, antidiabetic effect, pain reliever, hair growth stimulant; treat rheumatoid arthritis, breast cancer"
Citrullus lanatus,CURCUBITACEAE,water melon,"mild diuretic, high in vitamins esp. Vit. C, beta-carotene, lycopene; also anti-hypertensive"
Citrus aurantiifolia,RUTACEAE,lime,"decongestant, sedative, high in beta- carotene for cancer prevention; treats bilious headaches, diarrhea, dandruff, cramps, enteritis; also high in limonene, ascorbic acid"
Citrus aurantium,RUTACEAE,bitter orange,"aromatic, cooling, high in flavenoids, antioxidants, relieves tension, relaxes spasms, improves digestion; treats colds, flu, fevers, blood clots, diarrhea, infant colic, vomiting, indigestion, liver complaints, increases appetite"
Citrus limon,RUTACEAE,lemon,"blood purifier; treats skin problems like acne and boils; rich Vit. B, C; antifungal, antacid, antiseptic, aids digestion; most powerful natural styptic; antibacterial, antiviral; halts progression of infections"
Citrus medica,RUTACEAE,citron,"antibiotic (oil of flavedo), high vitamin C; combats seasickness, pulmonary troubles, intestinal ailments, citron juice with wine antidote to poison (Theophrastus)"
Citrus meyeri,RUTACEAE,lemon,"bitter, aromatic, cooling, diuretic, anti-inflammatory,  improves peripheral circulation; for varicose veins, hemorrhoids, kidney stones, feverish illnesses, bronchial congestion; also eczema, sore throat"
Citrus reticulata,RUTACEAE,tangerine,"bitter, spicy, warming, stimulates digestion, relieves pain, strong liver tonic, also for spleen, lungs, gall bladder, breasts;  for indigestion, flatulence, vomiting, liver and bladder disorders, breast cancer"
Citrus sinensis,RUTACEAE,orange,"high in alkaloids, Vitamin C, antioxidants, anticancer, anti-asthma, supports healthy collagen formation, protects from cardiovascular disease; for good, general health"
Citrus x paradisi,RUTACEAE,grapefruit,"cleanses digestive and urinary systems; reduces appetite, strengthens respiratory system and aids breathing; relieves symptoms of colds, flu; balances nervous system; aids in osteoarthritis"
Clematis recta,RANUNCULACEAE,virgin's bower,"pungent, warming, antibacterial; treats rheumatism and skin eruptions"
Clematis vitalba,RANUNCULACEAE,old man's beard,"pungent, warming, antibacterial; treats rheumatism and skin eruptions"
Clitoria ternatea,FABACEAE,blue pea,treats minor eye problems
Clusia rosea,CLUSIACEAE,balsam apple,"treats chest complaints, rheumatic pains, toothache; also to make plasters for fractures, dislocations, burns"
Cnicus benedictus,ASTERACEAE,blessed thistle,"diuretic, diaphoretic, febrifuge, cholagogic; treats forms of dyspepsia; stimulates appetite"
Coccoloba diversifolia,POLYGONACEAE,pigeon plum,"treats chronic diarrhea, dysentery"
Coccoloba uvifera,POLYGONACEAE,sea grape,"treats chronic diarrhea, dysentery, hemorrhages, venereal diseases; build blood after pregnancy; treats hoarseness, asthma; heals wounds and skin eruptions"
Cocos nucifera,ARECACEAE,coconut,"treats indigestion, gastric ulcers, colitis, hepatitis, diarrhea, diabetes, heart, liver and kidney disorders, toxemia of pregnancy, high urine acidity, gonorrhea - eradicate tapeworm, cooling medicine mixed with lemon"
Coffea arabica,RUBIACEAE,coffee,"treats nausea and vomiting, for hangovers from alcohol abundance; used for+G28    collapse after narcotic poisoning"
Coix lachryma jobi,GRAMINEAE,Job's tears,"sweet, cooling, reduces inflammation, relieves pain, spasms, lowers fevers, antibacterial, antifungal; treats arthritis esp. rheumatoid arthritis with pain, urinary problems, lung abscesses, diarrhea associated with spleen weakness"
Cola nitida,STERCULIACEAE,cola nut,"tonic for exhaustion, low energy, poor appetite; for diarrhea, digestive stimulant"
Colchicum autumnale,LILIACEAE,autumn crocus,"treats acute gout, Behyet's syndrome, Mediterranean fever, scleroderma; in homeopathy for joint pain, diarrhea, nausea - (alkaloids subject to legal restrictions in some countries)"
Colocasia esculenta,ARACEAE,taro,high in vitamins and minerals; for general health; tubers and leaves edible
Commelina communis,COMMELINACEAE,Asiatic dayflower,"febrifugal, antipyretic, anti-inflammatory,  diuretic, antibacterial, antitussive; treats sore throats, tonsilitis; leaves edible, also dye plant"
Convallaria majalis,LILIACEAE,lily of the valley,"treat congestive heart failure, arteriosclerosis  with angina, arterial hypertension - (herb subject to legal restrictions in some countries)"
Convolvulus arvensis,CONVOLVULACEAE,field bindweed,"purgative, relieves pain, anti-hemorrhagic,  laxative, stimulates bile; treats internal bleeding, helps heal wounds, aids menstruation and childbirth; also for spiderbites"
Cordyline fruticosa (C. terminalis),AGAVACEAE,cabbage tree,"bland, sweet, cooling, tonic, asphrodisiac, febrifuge, hemostatic, laxative, purgative; treats fevers, headaches, bleeding hemorrhoids, digestive ailments; also cardiovascular complaints, lung, kidney and liver problems"
Coriandrum sativum,APIACEAE,coriander,"antifungal, antibacterial, expectorant, acts mainly on digestive system, stimulates appetite, relieves irritation; treats poor digestion, hemorrhoids, painful joints"
Cornus officinalis,CORNACEAE,cornelian cherry,"energy tonic for liver and kidney, checks bleeding, lowers blood pressure, controls bacterial and fungal infections"
Corydalis solida,PAPAVERACEAE,yellow corydalis,"painkilling, stimulates circulation, sedative, antibacterial, controls spasms and nausea; treats painful menstruation, insomnia, traumatic injury, lumbago"
Costus arabicus,COSTACEAE,,"antibacterial, anti-infective, laxative; treats colic, colds, coughs, grippe, whopping cough, sores, leucorrhea, ear infections"
Cotinus coggyria,ANACARDIACEAE,smoke bush,"cholagogue, febrifuge, antioxidant; treats eye ailments, reduces coagulant fevers"
Cresentia cujete,BIGNONIACEAE,calabash,"emollient, laxative, astringent, expectorant; treats  stomach problems, coughs, colds, skin problems"
Crithmum maritinum,APIACEAE,rock samphire,"aromatic, salty, diuretic, cleanses toxins, digestive, encourages weight loss; treats obesity, kidney complaints, sluggishness, improves digestion"
Cryosophila stauracantha,ARECACEAE,give and take,"stops bleeding of fresh wounds, prevents infections, stops pain"
Cucumis melo,CURCUBITACEAE,melon,"vitamins and minerals - high in Vit. A, B and potassium"
Cucumis sativus,CURCUBITACEAE,cucumber,"cooling, diuretic, alterative, skin softener; expels parasites- tapeworm, treats skin conditions like blemishes, rashes, overheating also sunburn scalds, sore eyes, conjunctivitis"
Cuminum cyminum,APIACEAE,cumin,"aromatic, astringent, benefits digestive system; treats minor digestive problems, migraine, widely used in ayurveda to promote assimilation of other herbs, improve liver function"
Cupressus sempervirens,CUPRESSACEAE,Italian cypress,"anthelminthic, antipyretic, antirheumatic, antiseptic, astringent; treats whooping cough, spitting of blood, spasmodic coughs, colds, flu, sore throat, varicose veins, haemorrhoids"
Curcuma longa,ZINGIBERACEAE,tumeric,"pungent, bitter, cooling, improves digestion, stimulates gall bladder and circulatory system; treats indigestion, poor circulation, skin disorders, diabetes, arthritis, anemia, wounds, bruises, immune system problems, jaundice"
Cydonia oblonga,ROSACEAE,quince,"astringent, sour, high in acid and pectin; treats sore throat, relieves coughs associated with pneumonial lung disease; fruit edible"
Cymbopogon citratus,POACEAE,lemon grass,"bitter, aromatic, cooling, increases perspiraton, relieves spasms, antifungal, antibacterial; treats digestive problems in children, feverish illnesses; also for ringworm, lice, athlete's foot, scabies; oils used in cosmetics"
Cymbopogon nardus,POACEAE,citronella,preventative - insect bites etc.
Cynara cardunculus,ASTERACEAE,cardoon,"bitter, slightly salty, detoxifies and regenerates liver tissues, stimulates gall bladder, reduces lipids, cholesterol; treats chronic liver and gall bladder diseases, jaundice, hepatitis, arteriosclerosis,  diabetes"
Cynara scolymus,ASTERACEAE,globe artichoke,"treats chronic liver and gall bladder diseases, jaundice, hepatitis, arteriosclerosis,  diabetes"
Cynoglossum officinale,BORAGINACEAE,hound's tongue,"WARNING -formally used for coughs and diarrhea, now for minor injuries, bites, leg ulcers, suppository for hemorrhoids"
